"state","year","grade","score","median_income","total_pop","poverty_rate","child_poverty_rate","unemployment_rate","pct_black","pct_hispanic","bach_or_higher_rate","no_computer_rate","internet_rate","post2020"
"UTAH",2017,4,225.159172916822,65325,2946717,0.110243365752463,0.124991248590051,0.043557589155099,0.0105927271111889,0.136713114921102,0.325371036492665,0.308121281127586,0.843411678824338,0
"VIRGINIA",2017,4,227.598382221255,68766,8116130,0.111732808616915,0.148994339061347,0.0547709702378073,0.188392307295093,0.0895843055279304,0.375565086744479,0.229216471321628,0.806946145652613,0
"VERMONT",2017,4,226.445343411035,57808,600127,0.113549298731768,0.144820819112628,0.0437392069145874,0.0120614245736717,0.0179032268393112,0.367988125142727,0.19894492206204,0.79653431837082,0
"WASHINGTON",2017,4,223.123408781764,66174,7037413,0.122196892522863,0.157859577214416,0.0601661724788724,0.0350912354268855,0.123028181301253,0.344634200391948,0.22941510279144,0.849261366543564,0
"WISCONSIN",2017,4,219.612694271246,56759,5612611,0.123421879763269,0.166864660902397,0.0470871604015492,0.0623079089335002,0.0660377702245118,0.290310751580934,0.230092156240201,0.790582861049299,0
"WEST VIRGINIA",2017,4,217.316396173819,44061,1784004,0.177740072331676,0.245596732932487,0.0716601811793686,0.0350677766145501,0.0147105659002974,0.198985827088157,0.20975768483094,0.709834058814838,0
"WYOMING",2017,4,226.83121099577,60938,569412,0.111339416801894,0.127934401657593,0.0469307869078068,0.00992969821673525,0.0971896433470508,0.267497304544063,0.242126222959567,0.799076603673606,0
"ALASKA",2019,4,204.373572021553,77640,719376,0.106944073752808,0.148317432880143,0.071567774212322,0.0310107072888797,0.0703734255184054,0.295512145588927,0.258806660525597,0.859382030898455,0
"ALABAMA",2019,4,211.728520409549,50536,4754288,0.167425490420437,0.239002086549673,0.059249268551083,0.264860087157139,0.0427841066393232,0.254683326121383,0.229943723543246,0.768312745965641,0
"ARKANSAS",2019,4,215.054222154958,47597,2910954,0.170480193091337,0.236813663005624,0.0512972981234684,0.152331656314493,0.074725692395403,0.230277897773905,0.240648174162844,0.734883267088115,0
"ARIZONA",2019,4,215.841230797164,58945,6891224,0.151462788033011,0.214837725015673,0.0588911137411196,0.0421410496207324,0.313272245616817,0.294668055070732,0.236793029776522,0.844114654715105,0
"CALIFORNIA",2019,4,216.48126594299,75235,38535926,0.133634832078513,0.181284145026596,0.0605964768706399,0.0552179710477405,0.39018135274464,0.339259634393054,0.234018095932283,0.869426075794529,0
"COLORADO",2019,4,224.862437298555,72331,5489133,0.103089686476899,0.125629397338479,0.0432716504828786,0.0394852441443482,0.215347030995754,0.409123429420749,0.229127752296251,0.880065277055217,0
"CONNECTICUT",2019,4,224.34981661865,78444,3470087,0.0991750350927801,0.133066531223064,0.0602745624949537,0.0990524951371636,0.160623248637651,0.392842400310902,0.214349964903564,0.858970224972387,0
"DISTRICT OF COLUMBIA",2019,4,214.278715504121,86420,659676,0.16241306338263,0.239968580218629,0.069081953769162,0.454427205518253,0.109994037676686,0.58540707040452,0.188728265326732,0.82821939195319,0
"DELAWARE",2019,4,217.686784683225,68287,930764,0.117537850625937,0.175428471054679,0.0549283241478445,0.216664855920305,0.0923104566423748,0.319933664017212,0.217766121765993,0.852334843472182,0
"FLORIDA",2019,4,224.71226131,55660,20481252,0.140151930165207,0.201498197954361,0.0558276931203073,0.153226618241749,0.255802177398937,0.298795749894175,0.203740875497881,0.833028558443423,0
"GEORGIA",2019,4,217.982568037342,58700,10130335,0.150889185796916,0.215113382368072,0.0566926208669273,0.311841187207001,0.095387215901964,0.313230053544579,0.246524460367466,0.815862145292192,0
"HAWAII",2019,4,217.532057714727,81275,1384184,0.0943870179109136,0.119165223914085,0.0426007737918475,0.0171416235494981,0.104858047358332,0.329772760459414,0.220055770927155,0.851028679389845,0
"IOWA",2019,4,220.502917093727,60523,3040184,0.114506885109585,0.137919946313979,0.0373241473925946,0.0361712726962314,0.0599810543562877,0.285662884625033,0.238664797512091,0.814414847254742,0
"IDAHO",2019,4,222.505864271442,55785,1686285,0.131209137245483,0.157908540036164,0.0433260557699646,0.00658768738174938,0.125440838305923,0.275680467856387,0.260662813449206,0.833151325062539,0
"ILLINOIS",2019,4,218.172226008408,65886,12474842,0.124881180859846,0.171285857090213,0.0594327912952503,0.139672659870918,0.171204304626764,0.346525603136618,0.231403818399387,0.830728163934386,0
